"Time","Warmtenet","Warmtepomp","Waterzuivering","Vacuum","Laadpalen","Overig","Total","Total for simulation","Total measured"
2023-01-01 00:00:00,2200.000,14633.333,13326.667,886.667,0,686.667,31733.333,16413.333,33366.667
2023-01-01 00:15:00,2200.000,14813.333,12766.667,306.667,0,513.333,30600.000,15273.333,32206.667
2023-01-01 00:30:00,2200.000,14900.000,12560.000,1280.000,0,740.000,31680.000,16040.000,33426.667
2023-01-01 00:45:00,2200.000,14833.333,12446.667,300.000,0,766.667,30546.667,14946.667,32206.667
2023-01-01 01:00:00,2200.000,14686.667,12873.333,1406.667,0,626.667,31793.333,16480.000,33413.333
2023-01-01 01:15:00,2200.000,14573.333,12566.667,846.667,0,926.667,31113.333,15613.333,32806.667
2023-01-01 01:30:00,2200.000,14460.000,12420.000,1420.000,0,680.000,31180.000,16040.000,32646.667
2023-01-01 01:45:00,2200.000,14400.000,12400.000,853.333,0,700.000,30553.333,15453.333,32220.000
2023-01-01 02:00:00,2200.000,14446.667,13473.333,900.000,0,793.333,31813.333,16573.333,33553.333
2023-01-01 02:15:00,2200.000,14500.000,14386.667,946.667,0,593.333,32626.667,17533.333,34566.667
2023-01-01 02:30:00,2200.000,14500.000,12735.714,1135.714,0,771.429,31342.857,16071.429,32892.857
2023-01-01 02:45:00,2200.000,14553.333,12420.000,846.667,0,693.333,30713.333,15466.667,31933.333
2023-01-01 03:00:00,2200.000,14600.000,11786.667,300.000,0,720.000,29606.667,14286.667,31026.667
2023-01-01 03:15:00,2200.000,12040.000,11540.000,300.000,0,800.000,26880.000,14040.000,28320.000
2023-01-01 03:30:00,2200.000,300.000,9773.333,860.000,0,680.000,13813.333,12833.333,14926.667
2023-01-01 03:45:00,2200.000,300.000,9620.000,300.000,0,720.000,13140.000,12120.000,14246.667
2023-01-01 04:00:00,2200.000,300.000,9726.667,300.000,0,793.333,13320.000,12226.667,14340.000
2023-01-01 04:15:00,2200.000,300.000,9806.667,853.333,0,540.000,13700.000,12860.000,14626.667
2023-01-01 04:30:00,2200.000,300.000,9693.333,300.000,0,666.667,13160.000,12193.333,14186.667
2023-01-01 04:45:00,2200.000,300.000,11693.333,380.000,0,586.667,15160.000,14273.333,16573.333
2023-01-01 05:00:00,2200.000,300.000,12193.333,946.667,0,540.000,16180.000,15340.000,17720.000
2023-01-01 05:15:00,2200.000,300.000,10200.000,320.000,0,540.000,13560.000,12720.000,14900.000
2023-01-01 05:30:00,2200.000,300.000,9973.333,300.000,0,873.333,13646.667,12473.333,14613.333
2023-01-01 05:45:00,2200.000,300.000,9660.000,300.000,0,540.000,13000.000,12160.000,14000.000
2023-01-01 06:00:00,2200.000,206.667,9866.667,300.000,0,406.667,12980.000,12366.667,14373.333
2023-01-01 06:15:00,2200.000,286.667,9513.333,300.000,0,480.000,12780.000,12013.333,14000.000
2023-01-01 06:30:00,2200.000,266.667,9346.667,860.000,0,546.667,13220.000,12406.667,14533.333
2023-01-01 06:45:00,2200.000,266.667,9333.333,300.000,0,433.333,12533.333,11833.333,13860.000
2023-01-01 07:00:00,2200.000,266.667,9566.667,300.000,0,493.333,12826.667,12066.667,14373.333
2023-01-01 07:15:00,2200.000,293.333,9846.667,900.000,0,546.667,13786.667,12946.667,15126.667
2023-01-01 07:30:00,2200.000,300.000,12593.333,1086.667,0,400.000,16580.000,15880.000,18346.667
2023-01-01 07:45:00,2200.000,273.333,13720.000,346.667,0,500.000,17040.000,16266.667,19120.000
2023-01-01 08:00:00,2200.000,4973.333,12926.667,886.667,0,540.000,21526.667,16013.333,23340.000
2023-01-01 08:15:00,2200.000,13993.333,12333.333,300.000,0,400.000,29226.667,14833.333,30793.333
2023-01-01 08:30:00,2200.000,13873.333,12226.667,853.333,0,580.000,29733.333,15280.000,31213.333
