"Time","Heat produced Christeyns","Heat Waste","Heat Demand","Heat WPO","Electricity WPO","Heat Gas Boiler","Driewegkraan esters"
2023-01-01 00:00:00,46000,0,70000,45500,14700,63000,0.100
2023-01-01 00:15:00,60000,0,73000,45100,14900,74000,0.100
2023-01-01 00:30:00,77000,0,114000,47000,14900,89000,0.100
2023-01-01 00:45:00,79000,0,107000,46400,14800,107000,0.100
2023-01-01 01:00:00,76000,0,118000,46600,14600,63000,0.100
2023-01-01 01:15:00,91000,0,116000,47200,14500,171000,0.100
2023-01-01 01:30:00,64000,0,87000,46400,14400,42000,0.100
2023-01-01 01:45:00,45000,0,77000,45900,14400,101000,0.100
2023-01-01 02:00:00,33000,0,81000,45400,14500,39000,0.100
2023-01-01 02:15:00,38000,0,79000,45800,14500,96000,0.100
2023-01-01 02:30:00,32000,0,87000,46100,14500,77000,0.100
2023-01-01 02:45:00,50000,0,96000,46000,14600,66000,0.100
2023-01-01 03:00:00,72000,0,98000,46100,14600,69000,0.100
2023-01-01 03:15:00,59000,0,116000,47900,300,109000,0.100
2023-01-01 03:30:00,94000,0,87000,0,300,47000,0.100
2023-01-01 03:45:00,87000,0,78000,0,300,69000,0.100
2023-01-01 04:00:00,91000,0,84000,0,300,69000,0.100
2023-01-01 04:15:00,84000,0,90000,0,300,26000,0.100
2023-01-01 04:30:00,100000,0,90000,0,300,105000,0.100
2023-01-01 04:45:00,96000,0,86000,0,300,42000,0.100
2023-01-01 05:00:00,105000,0,116000,0,300,104000,0.100
2023-01-01 05:15:00,112000,0,113000,0,300,48000,0.100
2023-01-01 05:30:00,92000,0,90000,0,300,117000,0.100
2023-01-01 05:45:00,83000,0,86000,0,300,59000,0.100
2023-01-01 06:00:00,136000,0,141000,100,200,186000,0.100
2023-01-01 06:15:00,135000,0,134000,0,300,84000,0.100
2023-01-01 06:30:00,146000,0,177000,100,300,163000,0.100
2023-01-01 06:45:00,173000,0,175000,0,200,175000,0.100
2023-01-01 07:00:00,214000,0,194000,0,300,235000,0.100
2023-01-01 07:15:00,189000,0,179000,0,300,91000,0.100
2023-01-01 07:30:00,166000,0,188000,0,300,177000,0.100
2023-01-01 07:45:00,169000,0,185000,0,300,196000,0.100
2023-01-01 08:00:00,95000,0,120000,54500,14100,133000,0.100
2023-01-01 08:15:00,158000,0,131000,45100,14000,137000,0.100
2023-01-01 08:30:00,65000,0,150000,49000,13700,190000,0.100
2023-01-01 08:45:00,106000,0,141000,42500,14100,98000,0.100
2023-01-01 09:00:00,108000,0,147000,46800,14000,181000,0.100
2023-01-01 09:15:00,141000,0,167000,46100,14100,128000,0.100
2023-01-01 09:30:00,64000,0,129000,47800,13700,85000,0.100
2023-01-01 09:45:00,95000,0,133000,45300,13900,170000,0.100
2023-01-01 10:00:00,56000,0,106000,47300,14000,59000,0.100
2023-01-01 10:15:00,114000,0,117000,0,300,149000,0.100
2023-01-01 10:30:00,135000,0,119000,0,300,62000,0.100
2023-01-01 10:45:00,114000,0,107000,0,300,123000,0.100
2023-01-01 11:00:00,153000,0,131000,0,200,98000,0.100
2023-01-01 11:15:00,170000,0,159000,0,200,155000,0.100
2023-01-01 11:30:00,184000,0,205000,0,200,103000,0.100
2023-01-01 11:45:00,161000,0,141000,0,200,193000,0.100
2023-01-01 12:00:00,135000,0,131000,0,200,71000,0.100
2023-01-01 12:15:00,136000,0,104000,0,200,161000,0.100
2023-01-01 12:30:00,125000,0,109000,0,200,68000,0.100
2023-01-01 12:45:00,141000,0,103000,0,200,184000,0.100
2023-01-01 13:00:00,126000,0,105000,0,200,78000,0.100
2023-01-01 13:15:00,114000,0,98000,0,200,161000,0.100
2023-01-01 13:30:00,116000,0,107000,0,200,137000,0.100
2023-01-01 13:45:00,129000,0,140000,0,200,147000,0.100
2023-01-01 14:00:00,153000,0,135000,0,200,189000,0.100
2023-01-01 14:15:00,117000,0,85000,0,200,110000,0.100
2023-01-01 14:30:00,119000,0,114000,0,200,135000,0.100
2023-01-01 14:45:00,116000,0,135000,0,200,128000,0.100
2023-01-01 15:00:00,120000,0,112000,0,200,103000,0.100
2023-01-01 15:15:00,132000,0,140000,0,200,183000,0.100
2023-01-01 15:30:00,212000,0,145000,0,200,259000,0.100
2023-01-01 15:45:00,135000,0,145000,0,200,191000,0.100
2023-01-01 16:00:00,220000,0,176000,0,200,242000,0.100
2023-01-01 16:15:00,200000,0,170000,0,200,242000,0.100
2023-01-01 16:30:00,219000,0,189000,0,200,182000,0.100
2023-01-01 16:45:00,194000,0,209000,0,200,217000,0.100
2023-01-01 17:00:00,192000,0,158000,0,200,129000,0.100
2023-01-01 17:15:00,185000,0,162000,0,200,133000,0.100
2023-01-01 17:30:00,199000,0,184000,0,200,213000,0.100
2023-01-01 17:45:00,172000,0,160000,0,200,107000,0.100
