Date,Case,Death,No slaughter,Outbreak no
1/1/2014,1,1,0,1
1/1/2014,9,5,0,1
1/1/2014,2,1,0,1
1/1/2014,3,1,0,0
1/1/2014,5,4,0,0
1/1/2014,1,1,0,1
1/1/2014,8,3,0,1
1/1/2014,7,2,0,1
1/1/2014,3,3,0,0
1/1/2014,2,2,0,1
1/1/2014,1,0,0,0
1/1/2014,5,0,0,1
1/1/2014,8,3,3,1
1/1/2014,20,18,0,1
1/1/2014,2,1,0,1
1/1/2014,3,2,0,0
1/1/2014,2,0,0,0
1/1/2014,4,1,0,0
1/1/2014,6,2,0,1
1/1/2014,1,1,0,1
1/1/2014,8,3,0,1
1/1/2014,2,2,0,1
1/1/2014,2,2,0,1
1/1/2014,1,0,0,1
1/1/2014,1,1,0,1
1/1/2014,3,3,0,0
1/1/2014,2,2,0,1
1/1/2014,1,0,0,1
1/1/2014,3,0,0,1
1/1/2014,2,2,0,1
1/1/2014,10,8,0,1
2/1/2014,10,6,0,1
2/1/2014,2,0,0,0
2/1/2014,4,0,0,0
2/1/2014,1,0,0,1
2/1/2014,8,1,0,0
2/1/2014,6,2,0,1
2/1/2014,2,1,0,1
2/1/2014,6,0,0,0
2/1/2014,8,2,0,0
2/1/2014,10,2,0,0
2/1/2014,15,2,0,1
2/1/2014,7,1,0,1
2/1/2014,2,1,0,1
2/1/2014,2,1,0,1
2/1/2014,2,0,0,1
2/1/2014,3,1,0,1
2/1/2014,1,0,0,1
2/1/2014,2,2,0,1
2/1/2014,4,0,0,1
2/1/2014,1,0,0,1
2/1/2014,4,3,0,1
2/1/2014,5,2,0,1
2/1/2014,2,2,0,0
2/1/2014,1,1,0,0
2/1/2014,1,1,0,0
2/1/2014,1,1,0,1
2/1/2014,5,1,0,1
2/1/2014,7,1,0,1
2/1/2014,1,0,0,1
2/1/2014,4,2,0,1
2/1/2014,1,1,0,0
2/1/2014,1,1,0,0
2/1/2014,1,1,0,0
2/1/2014,1,1,0,1
2/1/2014,2,0,0,1
2/1/2014,28,18,0,1
2/1/2014,3,2,0,1
2/1/2014,7,7,0,3
3/1/2014,3,2,0,1
3/1/2014,5,2,0,1
3/1/2014,3,0,0,0
3/1/2014,2,1,0,1
3/1/2014,6,6,0,1
3/1/2014,34,0,0,0
3/1/2014,42,0,0,1
3/1/2014,5,1,0,0
3/1/2014,3,1,0,0
3/1/2014,7,2,0,0
3/1/2014,35,2,0,1
3/1/2014,3,3,0,1
3/1/2014,16,2,0,1
3/1/2014,4,2,0,1
3/1/2014,1,0,0,1
3/1/2014,5,0,0,1
3/1/2014,8,5,0,1
3/1/2014,5,5,0,1
3/1/2014,1,1,0,0
3/1/2014,1,1,0,0
3/1/2014,2,2,0,0
3/1/2014,3,3,0,1
3/1/2014,2,2,0,1
3/1/2014,8,7,0,1
3/1/2014,1,1,0,1
3/1/2014,6,5,0,1
3/1/2014,1,0,0,1
3/1/2014,12,8,0,1
3/1/2014,2,2,0,1
3/1/2014,14,5,0,1
4/1/2014,2,2,0,1
4/1/2014,26,8,0,1
4/1/2014,1,0,0,1
4/1/2014,3,1,0,0
4/1/2014,5,2,0,0
4/1/2014,2,1,0,1
4/1/2014,15,0,0,1
4/1/2014,8,4,0,1
4/1/2014,6,0,0,0
4/1/2014,8,1,0,0
4/1/2014,14,3,0,1
4/1/2014,15,1,0,1
4/1/2014,6,0,0,1
4/1/2014,5,2,0,0
4/1/2014,3,0,0,0
4/1/2014,2,0,0,1
4/1/2014,5,5,0,1
4/1/2014,10,4,0,1
4/1/2014,2,0,0,1
4/1/2014,1,1,0,0
4/1/2014,1,0,0,0
4/1/2014,4,0,0,1
4/1/2014,12,10,0,1
4/1/2014,48,48,0,1
4/1/2014,9,8,0,1
4/1/2014,4,4,0,1
4/1/2014,1,0,0,1
4/1/2014,7,3,0,1
4/1/2014,6,3,0,0
4/1/2014,5,5,0,0
4/1/2014,4,4,0,0
4/1/2014,8,8,0,1
4/1/2014,5,2,0,1
4/1/2014,1,0,0,0
4/1/2014,1,1,0,1
4/1/2014,1,0,0,0
4/1/2014,1,0,0,0
4/1/2014,1,0,0,0
4/1/2014,1,0,0,1
4/1/2014,5,5,0,1
4/1/2014,11,9,0,1
4/1/2014,4,4,0,1
4/1/2014,16,9,0,1
4/1/2014,2,1,0,1
4/1/2014,17,6,0,1
5/1/2014,3,1,0,0
5/1/2014,1,1,0,1
5/1/2014,3,1,0,0
5/1/2014,10,3,0,0
5/1/2014,4,2,0,1
5/1/2014,3,0,0,0
5/1/2014,2,0,0,1
5/1/2014,6,4,0,1
5/1/2014,20,15,0,0
5/1/2014,10,3,0,0
5/1/2014,8,0,0,0
5/1/2014,9,0,0,1
5/1/2014,7,7,0,1
5/1/2014,2,1,0,1
5/1/2014,45,6,2,0
5/1/2014,5,1,0,0
5/1/2014,25,4,0,0
5/1/2014,28,3,0,1
5/1/2014,6,2,0,0
5/1/2014,10,2,0,0
5/1/2014,4,1,0,0
5/1/2014,6,1,0,1
5/1/2014,10,2,0,1
5/1/2014,6,0,0,1
5/1/2014,2,1,0,0
5/1/2014,2,2,0,1
5/1/2014,6,2,0,1
5/1/2014,2,1,0,1
5/1/2014,5,1,0,0
5/1/2014,1,1,0,1
5/1/2014,1,0,0,1
5/1/2014,15,8,0,1
5/1/2014,5,2,0,1
5/1/2014,2,2,0,1
5/1/2014,2,1,0,1
5/1/2014,1,0,0,1
5/1/2014,8,1,0,1
5/1/2014,4,2,0,1
5/1/2014,2,1,0,0
5/1/2014,2,1,0,0
5/1/2014,2,1,0,0
5/1/2014,2,1,0,1
5/1/2014,1,1,0,1
5/1/2014,1,0,0,1
6/1/2014,3,2,0,1
6/1/2014,8,4,0,1
6/1/2014,25,3,0,1
6/1/2014,6,3,0,0
6/1/2014,4,1,0,1
6/1/2014,2,2,0,1
6/1/2014,15,11,0,0
6/1/2014,8,6,0,1
6/1/2014,6,4,0,0
6/1/2014,5,2,0,0
6/1/2014,3,0,0,1
6/1/2014,3,2,0,1
6/1/2014,2,0,0,0
6/1/2014,4,1,0,1
6/1/2014,1,0,0,1
6/1/2014,20,12,0,1
6/1/2014,5,3,0,1
6/1/2014,7,7,0,0
6/1/2014,3,3,0,0
6/1/2014,10,5,0,0
6/1/2014,5,5,0,1
6/1/2014,1,1,0,1
6/1/2014,6,4,0,1
6/1/2014,1,0,0,0
6/1/2014,1,0,0,0
6/1/2014,1,0,0,0
6/1/2014,1,0,0,1
7/1/2014,2,2,0,1
7/1/2014,18,4,0,0
7/1/2014,27,7,0,1
7/1/2014,12,8,0,1
7/1/2014,5,1,0,0
7/1/2014,7,2,0,0
7/1/2014,10,2,0,1
7/1/2014,25,1,0,0
7/1/2014,4,1,0,1
7/1/2014,1,1,0,1
7/1/2014,14,4,0,1
7/1/2014,5,2,0,0
7/1/2014,10,3,0,0
7/1/2014,20,5,0,1
7/1/2014,1,0,0,1
7/1/2014,2,2,0,0
7/1/2014,3,3,0,0
7/1/2014,4,4,0,0
7/1/2014,5,5,0,1
7/1/2014,16,3,0,1
7/1/2014,1,1,0,1
7/1/2014,3,1,0,1
7/1/2014,3,1,0,1
7/1/2014,22,20,0,1
7/1/2014,15,0,0,1
7/1/2014,12,9,0,1
7/1/2014,3,3,0,0
7/1/2014,2,2,0,0
7/1/2014,1,1,0,1
8/1/2014,3,2,0,1
8/1/2014,5,0,0,1
8/1/2014,5,2,0,0
8/1/2014,2,1,0,0
8/1/2014,6,1,0,1
8/1/2014,5,1,0,0
8/1/2014,10,2,0,1
8/1/2014,8,2,0,0
8/1/2014,2,0,0,0
8/1/2014,2,0,0,1
8/1/2014,4,2,0,1
8/1/2014,5,3,0,1
8/1/2014,2,0,0,1
8/1/2014,4,0,0,1
8/1/2014,5,2,0,1
8/1/2014,10,5,0,0
8/1/2014,4,1,0,0
8/1/2014,7,0,0,1
8/1/2014,1,1,0,1
8/1/2014,1,1,0,1
8/1/2014,1,0,0,1
8/1/2014,3,3,0,1
8/1/2014,3,2,0,1
8/1/2014,1,1,0,0
8/1/2014,2,1,0,1
8/1/2014,2,1,0,0
8/1/2014,3,2,0,1
8/1/2014,2,0,0,1
8/1/2014,1,0,0,0
8/1/2014,1,0,0,0
8/1/2014,1,0,0,0
8/1/2014,1,0,0,1
8/1/2014,7,5,0,1
9/1/2014,2,2,0,1
9/1/2014,2,1,0,0
9/1/2014,10,3,0,0
9/1/2014,7,2,0,1
9/1/2014,10,2,0,0
9/1/2014,3,0,0,0
9/1/2014,2,1,0,0
9/1/2014,1,0,0,1
9/1/2014,2,2,0,0
9/1/2014,100,2,0,1
9/1/2014,4,4,0,2
9/1/2014,4,4,0,1
9/1/2014,3,0,0,1
9/1/2014,4,4,0,0
9/1/2014,3,3,0,0
9/1/2014,2,2,0,0
9/1/2014,5,5,0,1
9/1/2014,14,1,0,1
9/1/2014,3,3,0,1
9/1/2014,1,0,0,0
9/1/2014,1,0,0,0
9/1/2014,1,0,0,0
9/1/2014,1,0,0,1
9/1/2014,3,2,0,1
10/1/2014,3,3,0,1
10/1/2014,30,6,0,0
10/1/2014,12,0,0,0
10/1/2014,7,1,0,2
10/1/2014,10,4,0,0
10/1/2014,68,57,0,0
10/1/2014,6,2,0,0
10/1/2014,12,11,0,1
10/1/2014,15,6,0,1
10/1/2014,3,1,0,0
10/1/2014,18,5,0,0
10/1/2014,4,2,0,1
10/1/2014,3,2,0,0
10/1/2014,5,3,0,0
10/1/2014,8,5,0,2
10/1/2014,2,1,0,1
10/1/2014,3,1,0,0
10/1/2014,2,0,0,0
10/1/2014,4,2,0,1
10/1/2014,1,0,0,1
10/1/2014,2,2,0,1
10/1/2014,9,1,0,0
10/1/2014,5,2,0,0
10/1/2014,3,0,0,0
10/1/2014,3,0,0,0
10/1/2014,10,10,0,0
10/1/2014,5,5,0,0
10/1/2014,6,6,0,0
10/1/2014,8,8,0,1
11/1/2014,3,2,0,1
11/1/2014,23,4,0,1
11/1/2014,3,0,0,0
11/1/2014,2,1,0,0
11/1/2014,3,1,0,1
11/1/2014,5,2,0,1
11/1/2014,2,0,0,1
11/1/2014,41,16,0,1
11/1/2014,2,0,0,0
11/1/2014,11,2,0,1
11/1/2014,3,1,0,0
11/1/2014,1,0,0,0
11/1/2014,6,3,0,1
11/1/2014,1,0,0,1
11/1/2014,2,0,0,0
11/1/2014,3,1,0,0
11/1/2014,5,2,0,1
11/1/2014,1,1,0,1
11/1/2014,2,2,0,0
11/1/2014,4,4,0,0
11/1/2014,1,1,0,0
11/1/2014,3,3,0,0
11/1/2014,2,2,0,1
12/1/2014,1,0,0,1
12/1/2014,5,2,0,0
12/1/2014,2,1,0,0
12/1/2014,3,0,0,0
12/1/2014,6,3,0,1
12/1/2014,3,0,0,1
12/1/2014,2,0,0,0
12/1/2014,2,0,0,0
12/1/2014,3,0,0,0
12/1/2014,3,1,0,1
12/1/2014,3,1,0,1
1/1/2015,2,0,0,0
1/1/2015,2,1,0,0
1/1/2015,3,1,0,1
1/1/2015,2,0,0,0
1/1/2015,4,1,0,1
1/1/2015,3,2,0,1
1/1/2015,5,2,0,0
1/1/2015,1,1,0,0
1/1/2015,2,1,0,1
1/1/2015,4,1,0,0
1/1/2015,2,2,0,0
1/1/2015,3,0,0,1
1/1/2015,6,4,0,0
1/1/2015,6,4,0,0
1/1/2015,4,4,0,0
1/1/2015,9,8,0,1
1/1/2015,3,1,0,1
2/1/2015,2,1,0,1
2/1/2015,5,2,0,0
2/1/2015,10,1,0,1
2/1/2015,1,0,0,1
2/1/2015,2,2,0,1
2/1/2015,2,0,0,1
2/1/2015,2,2,0,1
2/1/2015,1,0,0,1
2/1/2015,3,2,0,1
2/1/2015,4,1,0,1
3/1/2015,2,2,0,1
3/1/2015,1,1,0,1
3/1/2015,4,1,0,0
3/1/2015,5,3,0,0
3/1/2015,3,2,0,0
3/1/2015,2,0,0,1
3/1/2015,2,0,0,1
3/1/2015,4,4,0,1
3/1/2015,1,1,0,1
3/1/2015,2,1,0,0
3/1/2015,1,1,0,0
3/1/2015,1,1,0,0
3/1/2015,1,0,0,1
4/1/2015,15,6,0,1
4/1/2015,1,0,0,0
4/1/2015,5,2,0,0
4/1/2015,2,0,0,1
4/1/2015,3,0,0,3
4/1/2015,5,2,0,1
4/1/2015,1,0,0,1
5/1/2015,15,8,0,1
5/1/2015,7,2,0,0
5/1/2015,7,2,0,0
5/1/2015,3,1,0,0
5/1/2015,5,0,0,2
5/1/2015,1,1,0,1
5/1/2015,18,4,0,1
5/1/2015,6,2,0,1
5/1/2015,30,15,0,2
5/1/2015,1,1,0,1
5/1/2015,2,2,0,1
5/1/2015,3,0,0,0
5/1/2015,3,0,0,0
5/1/2015,1,1,0,1
5/1/2015,1,0,0,1
5/1/2015,3,1,0,0
5/1/2015,2,1,0,0
5/1/2015,1,0,0,0
5/1/2015,4,3,0,0
5/1/2015,1,1,0,0
5/1/2015,1,0,0,1
5/1/2015,1,0,0,0
5/1/2015,1,0,0,1
5/1/2015,2,1,0,1
5/1/2015,21,2,0,0
6/1/2015,9,1,0,0
6/1/2015,4,1,0,0
6/1/2015,13,2,0,0
6/1/2015,6,1,0,1
6/1/2015,15,3,0,1
6/1/2015,5,4,0,1
6/1/2015,2,1,0,1
6/1/2015,2,0,0,0
6/1/2015,1,0,0,1
6/1/2015,2,1,0,1
6/1/2015,7,7,0,0
6/1/2015,4,4,0,0
6/1/2015,3,3,0,0
6/1/2015,5,5,0,1
6/1/2015,26,4,0,0
6/1/2015,8,2,0,0
6/1/2015,12,2,0,1
6/1/2015,3,2,0,1
6/1/2015,31,16,0,3
7/1/2015,4,2,0,1
7/1/2015,10,4,0,1
7/1/2015,11,1,0,1
7/1/2015,3,0,0,1
7/1/2015,210,23,19,0
7/1/2015,95,11,8,1
7/1/2015,4,3,0,1
7/1/2015,3,2,2,0
7/1/2015,2,1,0,1
7/1/2015,14,9,0,1
7/1/2015,5,3,0,1
7/1/2015,3,3,0,1
7/1/2015,2,2,0,1
7/1/2015,2,2,0,2
7/1/2015,3,0,0,1
7/1/2015,2,1,0,0
7/1/2015,3,2,0,0
7/1/2015,4,4,0,1
7/1/2015,2,1,0,1
8/1/2015,3,1,0,1
8/1/2015,19,14,4,1
8/1/2015,4,4,0,0
8/1/2015,3,2,0,1
8/1/2015,7,4,0,0
8/1/2015,10,2,0,1
8/1/2015,5,5,0,1
8/1/2015,8,6,0,1
8/1/2015,2,2,0,1
8/1/2015,10,9,0,1
8/1/2015,7,0,0,1
8/1/2015,2,1,0,1
8/1/2015,5,5,0,1
8/1/2015,1,1,0,1
8/1/2015,1,0,0,0
8/1/2015,2,1,0,1
9/1/2015,5,2,0,1
9/1/2015,12,1,0,1
9/1/2015,2,0,0,0
9/1/2015,16,1,0,0
9/1/2015,8,1,0,2
9/1/2015,16,4,0,1
9/1/2015,11,2,0,1
9/1/2015,1,0,0,0
9/1/2015,2,1,0,0
9/1/2015,31,9,0,2
9/1/2015,10,9,0,1
9/1/2015,4,2,0,1
9/1/2015,1,1,0,1
9/1/2015,6,2,0,0
9/1/2015,2,0,0,0
9/1/2015,3,3,0,0
9/1/2015,4,0,0,1
9/1/2015,1,1,0,1
9/1/2015,5,2,0,0
9/1/2015,2,2,0,0
9/1/2015,4,1,0,0
9/1/2015,8,2,0,1
9/1/2015,14,2,0,0
9/1/2015,2,1,0,0
9/1/2015,4,2,0,0
9/1/2015,2,1,0,1
9/1/2015,1,0,0,0
9/1/2015,1,0,0,1
9/1/2015,3,3,0,1
9/1/2015,12,12,0,1
10/1/2015,1,1,0,0
10/1/2015,1,1,0,0
10/1/2015,10,6,0,0
10/1/2015,6,0,0,1
10/1/2015,22,0,0,0
10/1/2015,16,0,0,0
10/1/2015,17,0,0,1
10/1/2015,2,0,0,1
10/1/2015,3,0,0,0
10/1/2015,9,2,0,1
10/1/2015,3,1,0,0
10/1/2015,4,3,0,1
10/1/2015,6,2,0,1
10/1/2015,3,1,0,1
10/1/2015,5,2,0,0
10/1/2015,6,1,0,0
10/1/2015,3,1,0,0
10/1/2015,16,3,0,0
10/1/2015,4,2,0,0
10/1/2015,2,1,0,0
10/1/2015,2,1,0,0
10/1/2015,3,1,0,1
10/1/2015,1,0,0,1
10/1/2015,3,3,0,0
10/1/2015,6,6,0,4
10/1/2015,100,27,0,0
10/1/2015,10,2,0,0
10/1/2015,20,5,0,1
11/1/2015,4,3,0,1
11/1/2015,3,1,0,0
11/1/2015,2,0,0,0
11/1/2015,2,0,0,0
11/1/2015,6,0,0,0
11/1/2015,5,2,0,0
11/1/2015,8,0,0,1
11/1/2015,2,2,0,1
11/1/2015,3,1,0,1
11/1/2015,2,2,0,1
11/1/2015,3,0,0,1
11/1/2015,3,2,0,1
11/1/2015,1,1,0,0
11/1/2015,2,1,0,0
11/1/2015,1,1,0,0
11/1/2015,2,1,0,1
11/1/2015,1,0,0,1
11/1/2015,4,3,0,1
12/1/2015,8,4,0,0
12/1/2015,12,2,0,0
12/1/2015,3,0,0,2
12/1/2015,3,3,0,1
12/1/2015,5,1,0,1
12/1/2015,1,0,0,1
9/1/2016,12,3,0,1
11/10/2016,8,1,0,1
9/16/2016,17,2,0,1
9/16/2016,12,3,0,1
9/17/2016,12,4,0,1
9/17/2016,8,0,0,1
9/17/2016,7,2,1,1
7/21/2016,9,2,0,1
4/21/2016,9,2,0,1
7/21/2016,9,2,0,1
2/21/2016,9,2,0,1
7/21/2016,9,2,0,1
7/21/2016,9,2,0,1
9/23/2016,3,1,0,1
7/21/2016,4,2,0,1
7/21/2016,4,2,0,1
9/29/2016,4,2,0,1
1/21/2016,11,0,0,1
7/21/2016,11,0,0,1
9/29/2016,11,0,0,1
10/16/2016,27,15,0,2
10/16/2016,27,15,0,2
2/16/2016,5,1,0,1
9/29/2016,40,25,0,1
9/23/2016,2,2,0,1
10/22/2016,2,0,0,1
